,CSD_ID,Huckel_SMI
16,ABATUS,O=[C-](C1CCC#CCCC1)->[Ru+2]1(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(C(F)(F)F)cc(C(F)(F)F)n2[BH2-]n2c(C(F)(F)F)cc(C(F)(F)F)n->12
17,ABATUT,CC1=CC(C)=N(c2c(C)cccc2C)->[Co+3](<-[N-2]C23CC4CC(CC(C4)C2)C3)<-[N-]1c1c(C)cccc1C
18,ABAVAA,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C
19,ABAXOS,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C
20,ABAXUX,CC1(C)[CH2-]->[Pd+4]23(<-[Br-])(<-[CH2-]c4ccccc41)<-n1cccn1[BH-](n1cccn->21)n1cccn->31
21,ABAXUY,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C
22,ABAYUA,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
23,ABAZAH,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
24,ABAZEK,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd+2]23(<-[Cl-])<-[CH2-]C->2=C->3c2ccccc2)cc1
25,ABAZEL,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
26,ABAZIO,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd+2]2(<-[O-]C(=O)C(F)(F)F)<-[c-]3ccccc3CN->2(C)C)cc1
27,ABAZIP,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
28,ABEFOF,Cc1ccccn1->[Ag+3]12(<-[O-]S34(=O)c5ccccc5S3(=O)([O-]->1)[N-]->24)<-n1ccccc1C
29,ABEFUI,[Cl-]->[Zr+4]1(<-[Cl-])(<-[N-](CCC[N-]->1c1ccccc1)c1ccccc1)(<-O1CCCC1)<-O1CCCC1
30,ABEGOG,O=C1Cc2cn3ccccc3n2->[Zn+2]2(<-O)(<-[O-]1)<-[O-]C(=O)Cc1cn3ccccc3n->21
31,ABEJAS,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1
32,ABELOK,Cc1cc(C)c(N2C(c3ccccc3)=S=C(->[Au+]<-[Cl-])=C2c2ccccc2)c(C)c1
33,ABENIH,Cc1cc(C)n(->[Ag+]2(<-O=S(=O)(c3ccc(F)cc3)[N-]->2S(=O)(=O)c2ccc(F)cc2)<-n2c(C)cc(C)cc2C)c(C)c1
34,ABENRE,CC[O-]->[Re+5](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O
35,ABEPAA,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC
36,ABEPEE,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC
37,ABERIK,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1
38,ABETAF,[Cl-]->[Au+3]1(<-[Cl-])<-S=C([S-]->1)N1CCCC1
39,ABEVAG,CCN[La+3](<-[Br-])(<-[Br-])(<-[Br-])(NCC)(NCC)(NCC)NCC
40,ABEVAH,CC(C)P1(Oc2cccc3OP(C(C)C)(C(C)C)->[Pd+2]<-1(<-[S-]c1ccccc1)<-[c-]23)C(C)C
41,ABEVEL,CC(C)(C)P1(Oc2cccc3OP(C(C)(C)C)(C(C)(C)C)->[Pd+2]<-1(<-[S-]c1ccccc1)<-[c-]23)C(C)(C)C
42,ABEZAJ,Cc1cc(C)c([N-]2c3ccccc3C3(C)[N-](C4CCCCC4)->[Ti+4]<-2(<-[Cl-])(<-[N-](C)C)<-N3(C)C)c(C)c1
43,ABGTCU,NC1NC(N)=N2CC[NH-]->[Cu+3]<-2(<-[N-]=C=S)<-N=1
44,ABICIX,CC(C)P(C(C)C)(C(C)C)->[Os+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[N-]=C1CCCCC1)<-P(C(C)C)(C(C)C)C(C)C
45,ABICUK,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+](<-[Br-])(<-[C-]#[O+])<-[C]32)C(C)(C)CO4)c(C)c1
46,ABIDEU,Cn1ccn2[BH-](n3cccn3)n3ccn(C)c3=S->[Zn+2]3(<-S=c12)<-S=c1n(C)ccn1[BH-](n1cccn1)n1ccn(C)c1=S->3
47,ABIDIB,CC(=O)[O-]->[Pd+2](<-[O-]C(C)=O)(<-N(C(C)C)C1CCCCC1)<-N(C(C)C)C1CCCCC1
48,ABIDOE,Cn1ccn2[BH-](n3cccn3)n3ccn(C)c3=S->[Cd+2]3(<-S=c12)<-S=c1n(C)ccn1[BH-](n1cccn1)n1ccn(C)c1=S->3
49,ABIFUM,Cc1cc(C)n(->[Y+3]23(<-[Cl-])(<-[Cl-])<-n4c(C)cc(C)n4[BH-](n4c(C)cc(C)n->24)n2c(C)cc(C)n->32)[nH]1
50,ABIKAY,C[Si]1(C)c2ccccn2->[Ru]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->21
51,ABIKOM,CS1CCS(C)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
52,ABIKUS,CCS1CCS(CC)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
53,ABIPAE,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc3CN->13CCCC3C1CCCN->21Cc1ccccn1
54,ABIPEI,O=[N-]->[Mo+2]123(<-[C-]#[O+])<-n4ccccc4CN->14CCCC4C1CCCN->21Cc1ccccn->31
55,ABIQIN,CC1=CC(C)=N2CCN3=C(C)C=C(C)[O-]->[Re+5]<-2<-3(<-[O-2])(<-[C-]#N)<-[O-]1
56,ABIQOR,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3
57,ABIQUX,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3
58,ABIRIO,Cc1ccn(->[Ru+4]23456(<-[Cl-])(<-[Cl-])<-C=C->2(C)[CH-]->3CCC->4=C->5(C)[CH2-]->6)[nH]1
59,ABIROU,Cc1cc(C)n(->[Ru+4]23456(<-[Cl-])(<-[Cl-])<-C=C->2(C)[CH-]->3CCC->4=C->5(C)[CH2-]->6)[nH]1
60,ABIRUA,CC12=C->[Ru+4]<-1345(<-[Cl-])(<-[Cl-])(<-[CH2-]C->3(C)=C->4CC[CH-]->52)<-n1ccc(-c2ccccc2O)[nH]1
61,ABISAH,CC12=C->[Ru+4]<-1345(<-[Cl-])(<-[Cl-])(<-[CH2-]C->3(C)=C->4CC[CH-]->52)<-n1cc(=O)[nH]c(=O)[nH]1
62,ABISEL,CC12=C->[Ru+4]<-13456(<-[Cl-])(<-[CH2-]C->3(C)=C->4CC[CH-]->52)<-[O-]c1ccccc1-c1cc[nH]n->61
63,ABISIO,C1=CN(Cc2ccccn2)[C](->[Au+]<-[C]2N(Cc3ccccn3)C=CN2Cc2ccccn2)N1Cc1ccccn1
64,ABITEM,S=C=[N-]->[Fe+2]123(<-[N-]=C=S)<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31
65,ABIVAK,S=C=[N-]->[Fe+2]123(<-[N-]=C=S)<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31
66,ABIWUD,CC(=N->[Pt+2](<-[Cl-])(<-[Cl-])<-N=C(C)N(C)C)N(C)C
67,ABIWUE,FC(F)(F)c1ccccc1N1=Cc2ccccn2->[Pd+2]<-1(<-[Cl-])<-[Cl-]
68,ABIZIW,Clc1cc2-c3ccccn3->[Cd+2]3(<-[I-])(<-[I-])<-n4ccccc4-c(c1)n->32
69,ABOBEA,O=N1C=C2C=CC=C[N-]2->[Co+3]<-123(<-N(=O)C=C1C=CC=C[N-]->21)<-n1ccccc1-c1ccccn->31
70,ABOBIE,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[Pt+2]<-2(<-[Cl-])<-S=1
71,ABOBOK,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[V+5]<-2(<-[O-2])(<-[O-2])<-S=1
72,ABOFAZ,CCC1CSC2C3(C4=N(->[Pd+2](<-[Cl-])(<-[Cl-])<-N=21)C(CC)CS4)CCCCC3
73,ABOPOX,CC1(C)COC2c3cccc4C5=N(->[Ni+2](<-[I-])(<-[c-]34)<-N=21)C(C)(C)CO5
74,ABOQUE,CN1(C)CCN2=Cc3c(F)cc(F)c(F)[c-]3->[Pt+2]<-2<-1<-[Cl-]
75,ABOSUH,CC1=N2->[Co+3]34(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N(=C(C)CC(C)(C)N->3CC2)CCN->4C(C)(C)C1
76,ABOTNI,[I-]->[Ni+2]123(<-[I-])<-N4=Cc5ccccc5O->1CCN->2=Cc1ccccc1O->3CC4
77,ABOWOF,CC1=CC(C)=O->[Zn+2]2(<-O=C(C)C=C(C)[O-]->2)(<-[O-]1)<-n1cccc(C=NO)c1
78,ABOXIB,Cc1cc(C)n2->[W+4]34(<-[I-])(<-[C-]#[O+])(<-[C-](=O)[C-]->3=O)<-n3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)n->41
79,ABOXIY,COC(=O)C1CCS(C)->[Pt+2]2(<-[Cl-])<-[c-]3ccccc3C=N->21
80,ABOXOG,[O+]#[C-]->[Re+]1(<-[C-]#[N+]c2ccc(Cl)cc2)(<-[C-]#[N+]c2ccc(Cl)cc2)(<-[C-]#[N+]c2ccc(Cl)cc2)<-n2cccc3ccc4cccn->1c4c32
81,ABOYAT,COc1ccc([N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[N+]c3ccc(OC)cc3)(<-[C-]#[N+]c3ccc(OC)cc3)<-n3cccc4ccc5cccn->2c5c43)cc1
82,ABOZOH,Cc1cc(C)n2->[Zn+2](<-[Cl-])(<-[Cl-])<-n3c(C)cc(C)n3CCn12
83,ABUDOS,CC#N->[Cu+]1<-N2=C(C(F)(F)F)C=C(C(F)(F)F)C2=C2C=CC=C[N-]->12
84,ABUFAE,[O-2]->[Re+5]123(<-[O-]c4ccccc4C=N->1c1ccccc1[S-]->2)<-[O-]c1ccccc1P->3(c1ccccc1)c1ccccc1
85,ABUFIM,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-O=Cc2ccccc2P->1(c1ccccc1)c1ccccc1
86,ABUFOS,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2ccccc2P->1(c1ccccc1)c1ccccc1)c1ccccc1
87,ABUFUY,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2ccccc2P->1(c1ccccc1)c1ccccc1)c1ccccc1
88,ABUJEN,CC(C)(C)N1=Cc2cccc3C=N(C(C)(C)C)->[Rh+3]<-1(<-[CH3-])(<-[Br-])<-[c-]23
89,ABUKAM,CC1=C(C)[N-](O)->[Co+3]2(<-Nc3ccc(Br)cc3)(<-Nc3ccc(Br)cc3)(<-N1=O)<-N(=O)C(C)=C(C)[N-]->2O
90,ABUPIX,Cc1cccc(C)c1[O-]->[Ti+4](<-[O-]c1c(C)cccc1C)(<-[O-]c1c(C)cccc1C)<-[O-]c1c(C)cccc1C
91,ABUSAU,Brc1ccccc1C=N1CCN2CCN(=Cc3ccccc3Br)->[Cd+2]<-1<-2(<-[Br-])<-[Br-]
92,ABUSEW,CC(C)P1(Cc2cccc3CP(C(C)C)(C(C)C)->[Ni+2]<-1(<-[I-])<-[c-]23)C(C)C
93,ABUVUP,CCN(CC)c1ccc2C=N(c3ccc([N+](=O)[O-])cc3)->[Ni+2]3(<-[O-]c2c1)<-[O-]c1cc(N(CC)CC)ccc1C=N->3c1ccc([N+](=O)[O-])cc1
94,ABUWEZ,N#CCCP(CCC#N)(CCC#N)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(CCC#N)(CCC#N)CCC#N
95,ABUXIF,CC1CCCC2C3CC4CN12->[Zn+2](<-[Cl-])(<-[Cl-])<-N1(CCCCC41)C3
96,ABUYAX,CC(C)c1cccc(C(C)C)c1N1=CC=N(c2c(C(C)C)cccc2C(C)C)->[Pd+2]<-1(<-[Cl-])<-[Cl-]
97,ACADCO,CC1=CC(C)=O->[Co+3]2(<-O=C(C)C=C(C)[O-]->2)(<-[O-]1)(<-N(=O)[O-])<-n1cn(C)c2nc[n+](C)c(N)c21
98,ACAFUI,CC1c2cccc3C(C)=N4NC(=O->[Zn+2]<-4(<-O)(<-[O-][N+](=O)[O-])(<-N=1NC(=O)c1ccccc1)<-n23)c1ccccc1
99,ACALOI,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2]12(<-[Cl-])<-C=C->1[CH-]->2c1ccccc1
100,ACAPDA,CCN(CC)->[Pd+2]1(<-O=C(C)C=C(C)[O-]->1)<-N(CC)CC
101,ACAPUQ,CC(C)C(=O)Nc1cccc2CN34Cc5ccccn5->[Ru+2]<-35(<-[Cl-])(<-O=C(Nc3cccc(C4)n->53)C(C)C)<-n21
102,ACAQIE,NC(=O)CCN12CC(=O)[O-]->[Co+3]<-13(<-O)(<-[O-]C(=O)C2)<-n1cccc2ccc4cccn->3c4c21
103,ACAQOK,O=C1CN23CCN45CC(=O)[O-]->[Cd+2]<-2<-4(<-O)(<-O=C(O)C3)(<-O=C(O)C5)<-[O-]1
104,ACARAZ,O=[N+]([O-])c1ccccc1N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-Nc1ccccc1[N+](=O)[O-]
105,ACARED,O=[N+]([O-])c1cccc(N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-Nc2cccc([N+](=O)[O-])c2)c1
106,ACARUT,CCC#N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N=C(CC)Nc1ccc([N+](=O)[O-])cc1
107,ACASII,CCC(Nc1cccc([N+](=O)[O-])c1)=N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N=C(CC)OC
108,ACASOO,NC1=C2C(=O)c3ccccc3-c3c2n2->[Ni+2]45<-n6c(c(-c7ccccc7)c7ccc(c(-c8ccccc8)c21)[n-]->47)C=Cc6c(-c1ccccc1)c1ccc3[n-]->51
109,ACATUT,[Cl-]->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-n1ccc[nH]1)<-n1ccc[nH]1
110,ACAWIK,[F-]->[Ti+4](<-[F-])(<-[Cl-])(<-[Cl-])(<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1)<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1
111,ACAWOR,C=CCN1c2ccccc2N(CC=C)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-[C]1N(CC=C)c2ccccc2N1CC=C
112,ACAZFE,CC(=O)c1c[nH][cH-]2->[Fe+2]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c2c->3[cH-]->41
113,ACAZOU,CS(=O)(=O)Nc1cccn(->[Pt+2](<-[I-])(<-[I-])<-n2cccc(NS(C)(=O)=O)c2)c1
114,ACDIPT,CC1=CC(C)=O->[Pt+4]2(<-[I-])(<-[I-])(<-O=C(C)C=C(C)[O-]->2)<-[O-]1
115,ACEGAT,[C]([C-3]->[Au+3]<-n1c(-c2ccccc2)cc2n3ccccc3c3ccccc3c1-2)c1ccc(N=Nc2ccccc2)cc1
116,ACEHOI,[I-]->[Zn+2]1(<-[I-])<-n2cccc3ccc4cccn->1c4c32
117,ACEMEC,CC1N->[Pt+2](<-[Cl-])(<-[Cl-])<-[O-]C1=O
118,ACEPUT,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccc(Cl)c3ccc4ccc5c(Cl)ccn->1c5c4c32
119,ACEQAA,Clc1ccn2->[Pt+2](<-[Cl-])(<-[Cl-])<-n3ccc(Cl)c4ccc5ccc1c2c5c43
120,ACERUV,COc1ccc([S-]->[Re+5]2(<-[O-2])(<-[S-]CCN->23CCCCC3)<-[S-]c2ccc(OC)cc2)cc1
121,ACESAC,CCN1(CC)CC[S-]->[Tc+5]<-1(<-[O-2])(<-[S-]c1ccc(OC)cc1)<-[S-]c1ccc(OC)cc1
122,ACETUX,CC(C)C(N)C(O)=O->[Zn+2](<-[Cl-])(<-[Cl-])<-O=C(O)C(N)C(C)C
123,ACEWIO,CCCN(CCC)c1ccc(C=N2N=C(SC)[S-]->[Ni+2]<-23<-[S-]C(=NN->3=Cc2ccc(N(CCC)CCC)cc2)SC)cc1
124,ACEYNI,CC1=CC(C)=O->[Ni+2](<-[O-]1)(<-[C-](=C(C)c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
125,ACEZAJ,COc1ccc(P(->[Au+]<-[Cl-])(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
126,ACIDAS,[Cl-]->[Ru+2]123(<-n4ccccc4-c4ccccn->14)<-n1cccn1C(n1cccn->21)n1cccn->31
127,ACIFEY,CC12CCC(c3c1nccn3->[Zn+2](<-[Br-])(<-[Br-])<-n1ccnc3c1C1CCC3(C)C1(C)C)C2(C)C
128,ACIFOJ,c1ccc2c(c1)CSC1=S->[Au-]3(<-S=C1SC2)<-S=C1SCc2ccccc2CSC1=S->3
129,ACILAZ,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3C=N->1C1OC3COC(C)OC3C(O)C1[O-]->2
130,ACILIH,CC1OCC2OC3N=Cc4ccccc4[O-]->[V+5](<-[O-2])(<-[O-2])<-[O-]C3C(O)C2O1
131,ACINIM,COC1OC2c3ccccn3->[Au+3](<-[Cl-])(<-[Cl-])<-[C-]=2c2ccccc21
132,ACIQEK,[I-]->[Cu+](<-S=C(NN=Cc1ccco1)Nc1ccccc1)<-S=C(NN=Cc1ccco1)Nc1ccccc1
133,ACISOU,CC(C)(C)N12->[Fe+2]34(<-[Cl-])(<-[Cl-])<-n5c(cccc5CN->3(C(C)(C)C)Cc3cccc(n->43)C1)C2
134,ACITAH,CC(C)(C)N1Cc2cccc3n2->[Ni+2](<-[Br-])(<-[Br-])<-n2c(cccc2CN(C(C)(C)C)C3)C1
135,ACITEO,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2]23(<-S=c4[nH]c(=S)[nH]c(=S)[n-]->24)(<-S=c2[nH]c(=S)[nH]c(=S)[n-]->32)<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)c1
136,ACITUB,CNC(=O)c1cccn(->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cccc(C(=O)NC)c2)c1
137,ACIVAL,CC1=O->[Ag+]2(<-O=C(c3ccccc3P->2(C(C)(C)C)C(C)(C)C)N(C(C)C)C(C)C)<-[O-]1
138,ACIVIU,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cc3ccccc3[nH]2)c(C)c1
139,ACIVOA,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1
140,ACIWER,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)[C]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cc3ccccc3[nH]2)c(C)c1
141,ACIWUH,c1cc[c-]2->[Pd+2]3(<-NCc2c1)<-n1ccccc1-c1ccccn->31
142,ACIZAQ,CN12CCCS3Cc4cccc[c-]4->[IrH+2]<-3<-1(<-[Cl-])<-N1(CCC2)CCOCC1
143,ACMYCR,CC1=CC(C)=O->[Rh+]23(<-C=C->24CC4)(<-C=C->32CC2)<-[O-]1
144,ACOBEA,CCOC(=O)[N-]1[N-]2C(=O)(OCC)->[Pd+2]<-1<-23<-n1c(C)cc(-c2ccccc2)c2ccc4c(-c5ccccc5)cc(C)n->3c4c21
145,ACOBOM,CCOP(OCC)(OCC)->[Pt+2](<-[Cl-])(<-[Cl-])<-P(OCC)(OCC)OCC
146,ACOCIF,CC1=CC(C)=O->[Zn+2]2(<-O=C(C)C=C(C)[O-]->2)(<-[O-]1)<-n1ccccc1N
147,ACOCUQ,Cc1cccc2C3=NN(C)C(=O)N(C)[N-]3->[Cu+3]3(<-n12)<-n1c(C)cccc1C1=NN(C)C(=O)N(C)[N-]->31
148,ACOJUX,c1cnn([BH-]2n3cccn3->[Ti+2]345(<-S=S->3)(<-n3cccn32)<-n2cccn2[BH-](n2cccn->42)n2cccn->52)c1
149,ACOLOW,[O-2]->[Os+6]12(<-[O-2])(<-O=c3c([O-]->1)c(-c1ccccc1)oc1ccccc31)<-O=c1c([O-]->2)c(-c2ccccc2)oc2ccccc12
150,ACONPB,CC1=CC(C)=O->[Co+3]23(<-O=C(C)C=C(C)[O-]->2)(<-O=C(C)C=C(C)[O-]->3)<-[O-]1
151,ACORAM,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1
152,ACORUI,CC(=O)[O-]->[Pd+2]12<-[c-]3cccc(C)c3-c3cccc(C(C)(C)N->1c1c(C(C)C)cccc1C(C)C)n->23
153,ACOSAP,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-n4c(-c12)cccc4C(C)(C)N->3c1c(C(C)C)cccc1C(C)C
154,ACOSEQ,CC1C(C)P(c2ccccc2)(c2ccccc2)->[Ru+2](<-[Cl-])(<-[Cl-])(<-n2ccccc2)(<-n2ccccc2)<-P1(c1ccccc1)c1ccccc1
155,ACOSEU,CC1=CC(C)=O->[Co+3]23(<-O=C(C)C=C(C)[O-]->2)(<-O=C(C)C=C(C)[O-]->3)<-[O-]1
156,ACOSOA,CC1CCC(C)P12c1ccccc1P1(->[Ru+2]<-23(<-[Cl-])(<-[Cl-])<-NC(c2ccccc2)C(N->3)c2ccccc2)C(C)CCC1C
157,ACOSOD,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-OC(C)(C)c4cccc(-c12)n->34
158,ACOVAR,[Cl-]->[Ru+2]123(<-n4ccccc4-c4cccc(-c5ccccn->15)n->24)<-n1cc[nH]c1-c1[nH]ccn->31
159,ACOWAS,CCP(CC)(CC)->[Ni+2](<-N(=O)[O-])(<-N(=O)[O-])<-P(CC)(CC)CC
160,ACOWIA,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
161,ACOWUM,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1
162,ACOXEX,O=N([O-])->[Pt+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
163,ACOZIE,[Cl-]->[Co+3]12(<-[Cl-])(<-NC3CCCCC3N->1)<-NC1CCCCC1N->2
164,ACOZOJ,Cc1n(Cn2nnc3ccccc32)ccn1->[Zn+2](<-[Cl-])(<-[Cl-])<-n1ccn(Cn2nnc3ccccc32)c1C
165,ACPIPR,CCP(CC)(c1ccccc1)->[Re+5](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[N-2]c1ccc(C(C)=O)cc1)<-P(CC)(CC)c1ccccc1
166,ACPMNA,CC(=O)[CH2-]->[Mn+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c1ccccc1)(c1ccccc1)c1ccccc1
167,ACPYZN,CC(=O)c1ccn(->[Zn+2](<-[Cl-])(<-[Cl-])<-n2ccc(C(C)=O)cc2)cc1
168,ACTBPD,CC1=CC(C)=O->[Pd]2(<-C=[N+](C)C(=S->2)c2ccccc2)<-[O-]1
169,ACUCAD,CC(C)N(=C1C(=O)C2(C)CCC1C2(C)C)->[Pd+2](<-[Cl-])(<-[Cl-])<-N(=C1C(=O)C2(C)CCC1C2(C)C)C(C)C
